Title,Genre,Budget,ReleaseDate,Popularity,Duration,Director,Actor1,Actor2,Language,Certification,State,Box Office Collection (INR),Population,Urbanization,TheaterCount
Radhe,Action,900000000,13/5/21,1.8,109,Prabhu Deva,Salman Khan,Disha Patani,Hindi,U/A,Maharashtra,950000000,122,55,2000
Atrangi Re,Romance,70000000,24/12/21,6.4,138,Aanand L. Rai,Akshay Kumar,Sara Ali Khan,Hindi,U/A,Maharashtra,114000000,122,55,2000
Roohi,Horror,35000000,11/3/21,4.4,134,Hardik Mehta,Rajkummar Rao,Janhvi Kapoor,Hindi,U/A,Maharashtra,60000000,122,55,2000
Mimi,Drama,30000000,26/7/21,8,133,Laxman Utekar,Kriti Sanon,Pankaj Tripathi,Hindi,U/A,Maharashtra,51000000,122,55,2000
Shershaah,War,55000000,12/8/21,8.8,135,Vishnuvardhan,Sidharth Malhotra,Kiara Advani,Hindi,U/A,Himachal Pradesh,150000000,7,10,800
Sooryavanshi,Action,160000000,5/11/21,6.8,145,Rohit Shetty,Akshay Kumar,Katrina Kaif,Hindi,U/A,Maharashtra,294000000,122,55,2000
Bell Bottom,Thriller,80000000,19/8/21,6.5,123,Ranjit M. Tewari,Akshay Kumar,Vaani Kapoor,Hindi,U/A,Maharashtra,50000000,122,55,2000
Bhuj: The Pride of India,War,100000000,13/8/21,4.9,113,Abhishek Dudhaiya,Ajay Devgn,Sanjay Dutt,Hindi,U/A,Gujarat,27000000,64,43,1500
83,Biography,125000000,24/12/21,7.4,162,Kabir Khan,Ranveer Singh,Deepika Padukone,Hindi,U/A,Maharashtra,193000000,122,55,2000
Antim: The Final Truth,Action,55000000,26/11/21,6.2,138,Mahesh Manjrekar,Salman Khan,Aayush Sharma,Hindi,U/A,Maharashtra,55000000,122,55,2000
Sadak 2,Drama,35000000,28/8/20,1.1,133,Mahesh Bhatt,Sanjay Dutt,Alia Bhatt,Hindi,U/A,Maharashtra,25000000,122,55,2000
Ludo,Drama,30000000,12/11/20,7.7,150,Anurag Basu,Abhishek Bachchan,Rajkummar Rao,Hindi,U/A,Maharashtra,70000000,122,55,2000
Ramprasad Ki Tehrvi,Comedy,15000000,1/1/21,6.9,115,Seema Pahwa,Naseeruddin Shah,Konkona Sen Sharma,Hindi,U/A,Uttar Pradesh,25000000,199,22,1500
The White Tiger,Drama,30000000,22/1/21,7.1,125,Ramin Bahrani,Adarsh Gourav,Priyanka Chopra,Hindi,U/A,Maharashtra,50000000,122,55,2000
Roohi,Horror,30000000,11/3/21,4.5,134,Hardik Mehta,Rajkummar Rao,Janhvi Kapoor,Hindi,U/A,Maharashtra,55000000,122,55,2000
Mumbai Saga,Action,50000000,19/3/21,6.1,128,Sanjay Gupta,John Abraham,Emraan Hashmi,Hindi,U/A,Maharashtra,80000000,122,55,2000
Pagglait,Comedy,10000000,26/3/21,6.9,114,Umesh Bist,Sanya Malhotra,Ashutosh Rana,Hindi,U/A,Uttar Pradesh,20000000,199,22,1500
Radhe: Your Most Wanted Bhai,Action,90000000,13/5/21,1.8,109,Prabhu Deva,Salman Khan,Disha Patani,Hindi,U/A,Maharashtra,950000000,122,55,2000
Hungama 2,Comedy,25000000,23/7/21,3.8,156,Priyadarshan,Paresh Rawal,Shilpa Shetty,Hindi,U/A,Maharashtra,35000000,122,55,2000
Bell Bottom,Thriller,70000000,19/8/21,6.5,123,Ranjit M Tewari,Akshay Kumar,Vaani Kapoor,Hindi,U/A,Maharashtra,85000000,122,55,2000
Bhuj: The Pride of India,Action,40000000,13/8/21,4.9,113,Abhishek Dudhaiya,Ajay Devgn,Sanjay Dutt,Hindi,U/A,Gujarat,55000000,63,42,1800
Bhoot Police,Horror,35000000,10/9/21,5.1,129,Pavan Kirpalani,Saif Ali Khan,Arjun Kapoor,Hindi,U/A,Maharashtra,50000000,122,55,2000
Rashmi Rocket,Sports,25000000,15/10/21,6.5,129,Akarsh Khurana,Taapsee Pannu,Priyanshu Painyuli,Hindi,U/A,Gujarat,40000000,63,42,1800
Dhamaka,Thriller,30000000,19/11/21,7,104,Ram Madhvani,Kartik Aaryan,Mrunal Thakur,Hindi,U/A,Maharashtra,50000000,122,55,2000
Atrangi Re,Romance,30000000,24/12/21,6.9,138,Aanand L. Rai,Akshay Kumar,Sara Ali Khan,Hindi,U/A,Tamil Nadu,45000000,72,48,1800
Gehraiyaan,Romance,35000000,11/2/22,5.4,148,Shakun Batra,Deepika Padukone,Siddhant Chaturvedi,Hindi,U/A,Goa,50000000,2,65,800
Bachchhan Paandey,Action,65000000,18/3/22,4.8,147,Farhad Samji,Akshay Kumar,Kriti Sanon,Hindi,U/A,Uttar Pradesh,85000000,220,23,3000
Dasvi,Drama,30000000,7/4/22,5.6,145,Tushar Jalota,Abhishek Bachchan,Yami Gautam,Hindi,U/A,Haryana,45000000,29,35,1500
Runway 34,Thriller,65000000,29/4/22,6.9,141,Ajay Devgn,Ajay Devgn,Amitabh Bachchan,Hindi,U/A,Maharashtra,85000000,122,55,2000
Heropanti 2,Action,45000000,29/4/22,4,142,Ahmed Khan,Tiger Shroff,Tara Sutaria,Hindi,U/A,Maharashtra,60000000,122,55,2000
Bhool Bhulaiyaa 2,Comedy,55000000,20/5/22,7.3,145,Anees Bazmee,Kartik Aaryan,Kiara Advani,Hindi,U/A,Uttar Pradesh,85000000,220,23,3000
Samrat Prithviraj,Historical,120000000,3/6/22,6.4,135,Chandraprakash Dwivedi,Akshay Kumar,Manushi Chhillar,Hindi,U/A,Rajasthan,150000000,81,25,2200
Jugjugg Jeeyo,Comedy,50000000,24/6/22,6.8,148,Raj Mehta,Varun Dhawan,Kiara Advani,Hindi,U/A,Maharashtra,75000000,122,55,2000
Shamshera,Action,1500000000,22/7/22,4.5,158,Karan Malhotra,Ranbir Kapoor,Sanjay Dutt,Hindi,U/A,Maharashtra,750000000,122,55,2000
Ek Villain Returns,Thriller,600000000,29/7/22,5,127,Mohit Suri,John Abraham,Arjun Kapoor,Hindi,U/A,Maharashtra,850000000,122,55,2000
Laal Singh Chaddha,Comedy,1800000000,11/8/22,6.4,164,Advait Chandan,Aamir Khan,Kareena Kapoor,Hindi,U,Punjab,1300000000,30,37,1800
Liger,Action,900000000,25/8/22,4.3,140,Puri Jagannadh,Vijay Deverakonda,Ananya Panday,Hindi,U/A,Andhra Pradesh,650000000,53,30,1500
Brahmastra: Part One – Shiva,Fantasy,3000000000,9/9/22,7.2,168,Ayan Mukerji,Ranbir Kapoor,Alia Bhatt,Hindi,U/A,Maharashtra,4000000000,122,55,3000
Chup: Revenge of the Artist,Thriller,200000000,23/9/22,6.9,135,R. Balki,Sunny Deol,Dulquer Salmaan,Hindi,U/A,Kerala,300000000,35,47,1000
Ram Setu,Action,850000000,25/10/22,5.2,144,Abhishek Sharma,Akshay Kumar,Jacqueline Fernandez,Hindi,U/A,Tamil Nadu,950000000,77,48,1800
Thank God,Comedy,400000000,25/10/22,5,123,Indra Kumar,Ajay Devgn,Sidharth Malhotra,Hindi,U/A,Maharashtra,600000000,122,55,2000
Phone Bhoot,Comedy,300000000,4/11/22,4.8,136,Gurmmeet Singh,Katrina Kaif,Ishaan Khatter,Hindi,U/A,Punjab,500000000,30,37,1800
Mili,Thriller,200000000,4/11/22,5.3,113,Mathukutty Xavier,Janhvi Kapoor,Sunny Kaushal,Hindi,U/A,Uttar Pradesh,300000000,220,23,3000
Double XL,Comedy,250000000,4/11/22,5.1,130,Satram Ramani,Sonakshi Sinha,Huma Qureshi,Hindi,U/A,Delhi,350000000,19,97,2500
Uunchai,Drama,400000000,11/11/22,6.5,169,Sooraj R. Barjatya,Amitabh Bachchan,Anupam Kher,Hindi,U,Uttar Pradesh,600000000,220,23,3000
Drishyam 2,Thriller,500000000,18/11/22,8.5,142,Abhishek Pathak,Ajay Devgn,Tabu,Hindi,U/A,Goa,2000000000,3.5,62,800
Bhediya,Horror,700000000,25/11/22,6.4,156,Amar Kaushik,Varun Dhawan,Kriti Sanon,Hindi,U/A,Madhya Pradesh,950000000,85,27,2500
Bholaa,Action,900000000,30/3/23,7.1,144,Ajay Devgn,Ajay Devgn,Tabu,Hindi,U/A,Maharashtra,950000000,122,55,2000
Kuttey,Crime,350000000,13/1/23,6.2,108,Aasmaan Bhardwaj,Arjun Kapoor,Tabu,Hindi,A,Uttar Pradesh,500000000,220,23,1500
Mission Majnu,Spy Thriller,500000000,20/1/23,7,129,Shantanu Bagchi,Sidharth Malhotra,Rashmika Mandanna,Hindi,U/A,Maharashtra,650000000,122,55,1800
Shehzada,Action,800000000,10/2/23,5.8,145,Rohit Dhawan,Kartik Aaryan,Kriti Sanon,Hindi,U/A,Maharashtra,750000000,122,55,2200
Pathaan,Action,2000000000,25/1/23,9.2,146,Siddharth Anand,Shah Rukh Khan,Deepika Padukone,Hindi,U/A,Maharashtra,10500000000,122,55,3500
Selfiee,Comedy,600000000,24/2/23,6.5,143,Raj Mehta,Akshay Kumar,Emraan Hashmi,Hindi,U/A,Maharashtra,650000000,122,55,1800
Jawan,Action,3000000000,7/9/23,9.5,169,Atlee Kumar,Shah Rukh Khan,Nayanthara,Hindi,U/A,Maharashtra,12500000000,122,55,4500
Bawaal,Drama,400000000,21/7/23,7.2,144,Nitesh Tiwari,Varun Dhawan,Janhvi Kapoor,Hindi,U,Uttar Pradesh,500000000,220,23,2000
Adipurush,Action,5000000000,16/6/23,8.8,179,Om Raut,Prabhas,Kriti Sanon,Hindi,U/A,Maharashtra,6000000000,122,55,4000
Bhediya,Horror,700000000,25/11/22,6.4,156,Amar Kaushik,Varun Dhawan,Kriti Sanon,Hindi,U/A,Madhya Pradesh,950000000,85,27,2500
Govinda Naam Mera,Comedy,300000000,16/12/22,6.2,135,Shashank Khaitan,Vicky Kaushal,Kiara Advani,Hindi,U/A,Maharashtra,500000000,122,55,1800
Freddy,Thriller,250000000,2/12/22,6.1,124,Shashanka Ghosh,Kartik Aaryan,Alaya F,Hindi,U/A,Maharashtra,400000000,122,55,1500
Salaam Venky,Drama,200000000,9/12/22,7.1,136,Revathi,Kajol,Vishal Jethwa,Hindi,U,Maharashtra,250000000,122,55,1300
An Action Hero,Action,450000000,2/12/22,6.9,132,Anirudh Iyer,Ayushmann Khurrana,Jaideep Ahlawat,Hindi,U/A,Haryana,550000000,29,35,1700
Cirkus,Comedy,1800000000,23/12/22,6.3,138,Rohit Shetty,Ranveer Singh,Pooja Hegde,Hindi,U/A,Maharashtra,2000000000,122,55,3000
Vikram Vedha,Action,1750000000,30/9/22,7.5,147,Pushkar-Gayathri,Hrithik Roshan,Saif Ali Khan,Hindi,U/A,Maharashtra,2100000000,122,55,3100
Doctor G,Comedy,300000000,14/10/22,6.7,124,Anubhuti Kashyap,Ayushmann Khurrana,Rakul Preet Singh,Hindi,U/A,Uttar Pradesh,400000000,220,23,1500
Goodbye,Drama,200000000,7/10/22,7,134,Vikas Bahl,Amitabh Bachchan,Rashmika Mandanna,Hindi,U,Maharashtra,300000000,122,55,1400
Ram Setu,Action,1000000000,25/10/22,6.8,143,Abhishek Sharma,Akshay Kumar,Jacqueline Fernandez,Hindi,U/A,Maharashtra,1200000000,122,55,2800
Gadar 2,Action,300000000,11/8/23,7.8,170,Anil Sharma,Sunny Deol,Ameesha Patel,Hindi,U/A,Punjab,500000000,30,37,1800
OMG 2,Comedy,250000000,11/8/23,7.5,136,Amit Rai,Akshay Kumar,Pankaj Tripathi,Hindi,U/A,Maharashtra,400000000,122,55,1600
Bhool Bhulaiyaa 2,Comedy,650000000,20/5/22,7.4,145,Anees Bazmee,Kartik Aaryan,Kiara Advani,Hindi,U/A,Uttar Pradesh,950000000,220,23,2400
Rocky Aur Rani Ki Prem Kahani,Romance,950000000,28/7/23,8,168,Karan Johar,Ranveer Singh,Alia Bhatt,Hindi,U/A,Maharashtra,1100000000,122,55,2200
Tiku Weds Sheru,Comedy,200000000,23/6/23,6.5,120,Sai Kabir,Nawazuddin Siddiqui,Avneet Kaur,Hindi,U/A,Maharashtra,300000000,122,55,1500
Khuda Haafiz: Chapter II – Agni Pariksha,Action,450000000,8/7/22,6.8,137,Faruk Kabir,Vidyut Jammwal,Shivaleeka Oberoi,Hindi,U/A,Uttar Pradesh,600000000,220,23,2000
Double XL,Drama,250000000,4/11/22,6,131,Satram Ramani,Sonakshi Sinha,Huma Qureshi,Hindi,U/A,Delhi,300000000,20,97,1200
Sita Ramam,Romance,400000000,5/8/22,8.3,154,Hanu Raghavapudi,Dulquer Salmaan,Mrunal Thakur,Telugu,U/A,Andhra Pradesh,800000000,50,29,1800
Lal Singh Chaddha,Drama,1800000000,11/8/22,6.7,159,Advait Chandan,Aamir Khan,Kareena Kapoor,Hindi,U/A,Punjab,1200000000,30,37,2500
Jogi,Drama,200000000,16/9/22,7,116,Ali Abbas Zafar,Diljit Dosanjh,Kumud Mishra,Hindi,U/A,Delhi,300000000,20,97,1400
Ek Villain Returns,Action,800000000,29/7/22,6.5,128,Mohit Suri,John Abraham,Arjun Kapoor,Hindi,U/A,Maharashtra,1000000000,122,55,2100
Major,Biography,200000000,3/6/22,8.1,149,Sashi Kiran Tikka,Adivi Sesh,Sobhita Dhulipala,Hindi,U/A,Maharashtra,300000000,122,55,1300
Jersey,Sports,600000000,22/4/22,6.8,170,Gowtam Tinnanuri,Shahid Kapoor,Mrunal Thakur,Hindi,U/A,Maharashtra,700000000,122,55,2000
Phone Bhoot,Horror,400000000,4/11/22,6.4,136,Gurmmeet Singh,Katrina Kaif,Ishaan Khattar,Hindi,U/A,Maharashtra,500000000,122,55,1800
F3: Fun and Frustration,Comedy,450000000,27/5/22,7.2,148,Anil Ravipudi,Venkatesh Daggubati,Varun Tej,Telugu,U/A,Telangana,650000000,39,38,2100
Darlings,Comedy,300000000,5/8/22,7.6,134,Jasmeet K. Reen,Alia Bhatt,Shefali Shah,Hindi,U/A,Maharashtra,450000000,122,55,1600
"Monica, O My Darling",Thriller,350000000,11/11/22,7.3,129,Vasan Bala,Rajkummar Rao,Huma Qureshi,Hindi,U/A,Maharashtra,500000000,122,55,1800
Vikram,Action,1200000000,3/6/22,8.5,174,Lokesh Kanagaraj,Kamal Haasan,Fahadh Faasil,Tamil,U/A,Tamil Nadu,1800000000,72,48,3200
Major,Biography,300000000,3/6/22,8.1,149,Sashi Kiran Tikka,Adivi Sesh,Saiee Manjrekar,Telugu,U/A,Andhra Pradesh,400000000,50,29,2100
Thalaivi,Biography,65000000,10/9/21,6.6,153,A. L. Vijay,Kangana Ranaut,Arvind Swamy,Tamil,U/A,Tamil Nadu,85000000,72,48,1800
The Kashmir Files,Drama,25000000,11/3/22,8.5,170,Vivek Agnihotri,Mithun Chakraborty,Anupam Kher,Hindi,A,Jammu & Kashmir,340000000,13,27,3000
Jhund,Biography,25000000,4/3/22,7.5,178,Nagraj Manjule,Amitabh Bachchan,Akash Thosar,Hindi,U/A,Maharashtra,37000000,122,55,2000
Attack,Action,55000000,1/4/22,6.2,121,Lakshya Raj Anand,John Abraham,Jacqueline Fernandez,Hindi,U/A,Delhi,72000000,19,97,2500
Runway 34,Thriller,35000000,29/4/22,7.1,141,Ajay Devgn,Ajay Devgn,Amitabh Bachchan,Hindi,U/A,Maharashtra,48000000,122,55,2000
Heropanti 2,Action,65000000,29/4/22,5,142,Ahmed Khan,Tiger Shroff,Tara Sutaria,Hindi,U/A,Uttar Pradesh,75000000,199,22,2500
Acharya,Action,100000000,29/4/22,5.4,152,Koratala Siva,Chiranjeevi,Ram Charan,Telugu,U/A,Telangana,120000000,35,39,3000
Bhool Bhulaiyaa 2,Horror,45000000,20/5/22,7.2,145,Anees Bazmee,Kartik Aaryan,Kiara Advani,Hindi,U/A,Rajasthan,75000000,69,25,1800
Ala Vaikunthapurramuloo,"Action, Drama",80000000,12/1/20,8.5,160,Trivikram Srinivas,Allu Arjun,Pooja Hegde,Telugu,U/A,Andhra Pradesh,2620000000,50,30,2500
Sarileru Neekevvaru,"Action, Comedy",70000000,11/1/20,8.2,150,Anil Ravipudi,Mahesh Babu,Rashmika Mandanna,Telugu,U/A,Andhra Pradesh,2600000000,50,30,2400
Uppena,"Romance, Drama",40000000,12/2/21,7.5,140,Buchi Babu Sana,Panja Vaisshnav Tej,Krithi Shetty,Telugu,U/A,Telangana,830000000,35,39,2000
Vakeel Saab,Drama,60000000,9/4/21,8,150,Venu Sriram,Pawan Kalyan,Nivetha Thomas,Telugu,U/A,Andhra Pradesh,1370000000,50,30,2300
Jathi Ratnalu,Comedy,30000000,11/3/21,7.8,130,Anudeep KV,Naveen Polishetty,Priyadarshi,Telugu,U/A,Telangana,700000000,35,39,1800
Rang De,"Romance, Drama",50000000,26/3/21,7,135,Venky Atluri,Nithin,Keerthy Suresh,Telugu,U/A,Andhra Pradesh,600000000,50,30,2100
Pushpa: The Rise,"Action, Drama",200000000,17/12/21,8.7,179,Sukumar,Allu Arjun,Rashmika Mandanna,Telugu,U/A,Andhra Pradesh,4000000000,50,30,2700
Kshana Kshanam,Thriller,35000000,14/1/22,6.6,120,Srinivas Naidu Nadikatla,Sree Vishnu,Nivetha Pethuraj,Telugu,U/A,Telangana,50000000,35,39,1700
Hero,"Action, Drama",50000000,11/2/22,7,140,Satin Suryan,Nikhil Siddhartha,Nidhi Agerwal,Telugu,U/A,Andhra Pradesh,60000000,50,30,1800
Sarkaru Vaari Paata,"Action, Comedy",80000000,12/5/22,8.3,155,Parasuram Petla,Mahesh Babu,Keerthy Suresh,Telugu,U/A,Andhra Pradesh,1500000000,50,30,2400
Bangarraju,"Fantasy, Drama",60000000,14/1/22,7.4,145,Kalyan Krishna Kurasala,Nagarjuna Akkineni,Naga Chaitanya,Telugu,U/A,Telangana,80000000,35,39,2000
Raja Vikramarka,"Action, Drama",40000000,18/11/22,6.8,135,Sri Saripalli,Kartikeya Gummakonda,Nivetha Pethuraj,Telugu,U/A,Andhra Pradesh,55000000,50,30,1700
Aadavaallu Meeku Johaarlu,Romantic Comedy,35000000,25/2/22,6.9,130,Kishore Tirumala,Sharwanand,Rashmika Mandanna,Telugu,U/A,Telangana,50000000,35,39,1600
Siddhartha,Drama,25000000,5/8/22,6.4,125,Siddhartha Rajkumar,Siddharth,Ananya Panday,Telugu,U/A,Andhra Pradesh,30000000,50,30,1400
Ghani,Sports Drama,50000000,8/4/22,7.1,140,Kiran Korrapati,Varun Tej,Saiee Manjrekar,Telugu,U/A,Telangana,60000000,35,39,1700
C/o Kancharapalem,Drama,15000000,22/7/22,7.4,135,Venkatesh Maha,Karthik Rathnam,Raja Ravindra,Telugu,U/A,Andhra Pradesh,20000000,50,30,1200
HIT: The First Case,Thriller,25000000,11/3/22,7.2,140,Shailesh Kolanu,Vishwak Sen,Mehreen Pirzada,Telugu,U/A,Telangana,35000000,35,39,1400
Liger,"Action, Sports",80000000,25/8/22,7.7,155,Puri Jagannadh,Vijay Deverakonda,Ananya Panday,Telugu,U/A,Andhra Pradesh,90000000,50,30,2100
Saradaga Kasepu,Comedy,20000000,10/6/22,6.2,125,Vijay Kumar Konda,Nithin,Nivetha Pethuraj,Telugu,U/A,Telangana,25000000,35,39,1300
Macherla Niyojakavargam,"Action, Drama",60000000,2/9/22,7,140,M. S. Reddy,Nithin,Kriti Shetty,Telugu,U/A,Andhra Pradesh,75000000,50,30,1800
The Ghost,"Action, Thriller",70000000,5/10/22,7.3,150,Sandeep Reddy Vanga,Nagarjuna Akkineni,Sonal Chauhan,Telugu,U/A,Telangana,90000000,35,39,1600
Shyam Singha Roy,"Drama, Romance",70000000,24/12/21,7.5,160,Rahul Sankrityan,Nani,Krithi Shetty,Telugu,U/A,Andhra Pradesh,80000000,50,30,1900
Raya,"Action, Drama",55000000,20/5/22,7,145,Karthik Subbaraj,Ram Charan,Samantha Ruth Prabhu,Telugu,U/A,Telangana,65000000,35,39,1600
Master,"Action, Thriller",90000000,13/1/21,8.5,158,Lokesh Kanagaraj,Vijay,Vijay Sethupathi,Tamil,U/A,Tamil Nadu,2800000000,77,48,2700
Soorarai Pottru,Drama,40000000,12/11/20,8,155,Sudha Kongara,Suriya,Aparna Balamurali,Tamil,U/A,Tamil Nadu,1500000000,77,48,2300
Annatthe,"Action, Drama",70000000,4/11/21,7.5,160,Siva,Rajinikanth,Nayanthara,Tamil,U/A,Tamil Nadu,2000000000,77,48,2600
Doctor,"Comedy, Action",50000000,9/10/21,7.8,150,Nelson Dilipkumar,Sivakarthikeyan,Priyanka Arul Mohan,Tamil,U/A,Tamil Nadu,1500000000,77,48,2500
